OBJECTID,contract_number,contract_description,contract_status,contract_type,contract_subtype,last_modified,original_amount,revised_amount,vendor_id,vendor_name,objectid_1
3760,91400209,ROOF AT STATION 4                                 ,CLOSED,CON  (CONSTUCT/R),,2014/05/21 00:00:00+00,37450,37450,18205,"SPARTAN ROOFING CO., INC.",3759
3761,92100355,FY 21 GUARDRAIL MAINTENANCE                       ,CLOSED,GS   (GEN SERV),,2022/02/22 00:00:00+00,60054.15,54203.5,19978,"BULLINGTON CONSTRUCTION, INC.",3760
3762,92100088,PARKING GARAGE CALL CENTER SERVICES               ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,25250,65750,26948,PARKER TECHNOLOGY LLC,3761
3763,91600173,MULTI YR FLOOD WARNING SYSTEM MAINTENANCE CONTRACT,CLOSED,PRO  (PRO SERVIC),,2021/06/14 00:00:00+00,29800,6840,7724,DISTINCTIVE AFWS DESIGNS,3762
3764,91700211,ASHEVILLE DESIGN CENTER OUTDOOR EXPERIENC FY 15-16,CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2017/06/07 00:00:00+00,4000,4000,9235,"ASHEVILLE DESIGN CENTER, INC.",3763
3765,92000435,CLEANING / MAINT WATER TANKS                      ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,48445,56420,22201,"SE DIVING SERVICES, LLC",3764
3766,91900190,FIRE STATION 4 BUILDING ENCLOSURE ASSESSMENT      ,CLOSED,PRO  (PRO SERVIC),,2019/04/04 00:00:00+00,3500,3500,29523,"TERRACON CONSULTANTS, INC",3765
3767,92000197,BYPASS MOBILE SOFTWARE LICENSE FOR FOOD AND BEVERA,CLOSED,GS   (GEN SERV),,2021/03/23 00:00:00+00,24036,48072,30302,"BYPASS MOBILE, LLC",3766
3768,91700178,WATER CAPACITY FEE ANALYSIS                       ,CLOSED,GS   (GEN SERV),,2017/05/10 00:00:00+00,17505,17500,11194,"RAFTELIS FINANCIAL CONSULTANTS, INC.",3767
3769,91100201,GAS LINE & PIPE FOR BEAVERDAM PUMP STATION        ,CLOSED,GENERAL,,2010/07/19 00:00:00+00,2215.49,2215.49,9222,FERRELL GAS,3768
3770,91000176,FABRICATION AND INSTALLATION OF METER POLES N PACK,CLOSED,GS   (GEN SERV),,2010/01/21 00:00:00+00,1155,1155,8643,VALLEYCREST LANDSCAPE DEVELOPM,3769
3771,91400200,MCCORMICK FIELD LOCKER ROOM ROOF                  ,CLOSED,CON  (CONSTUCT/R),,2014/05/21 00:00:00+00,13850,13850,18205,"SPARTAN ROOFING CO., INC.",3770
3772,91500317,DESIGN/DOCS PHASE 1 MONTFORD COMPLEX              ,CLOSED,PRO  (PRO SERVIC),,2019/11/11 00:00:00+00,60000,125140.65,18326,"SITE DESIGN STUDIO, PLLC",3771
3773,91200285,ARMED SECURITY SERVICES FOR CITY HALL             ,CLOSED,GS   (GEN SERV),,2015/09/29 00:00:00+00,40761.3,150763.07,21842,"S & S MANAGEMENT GROUP, LLC",3772
3774,91100390,"REINSTALL BRICKS, PLAQUES ETC. AT PACK SQ. PARK   ",CLOSED,GS   (GEN SERV),,2011/07/20 00:00:00+00,6500,6500,585,CAROLINA CORNERSTONE CONSTRUCT,3773
3775,91700138,WEST-NEXT GENERATION NETWORK: HIGH SPEED INTERNET ,CLOSED,GS   (GEN SERV),,2016/12/22 00:00:00+00,11893,0,15822,LAND OF SKY ADVISORY GROUP,3774
3776,91900421,EVNT PROD AG WITH AVL-BUNCOMBE CNTY MEMORIAL DAY  ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,4500,4500,14060,COUNTY OF BUNCOMBE,3775
3777,91700205,MY DADDY TAUGHT ME THAT SPF GRANT FY 16-17        ,CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2018/08/07 00:00:00+00,20000,20000,25937,KL TRAINING SOLUTIONS,3776
3778,91600216,WTP EVALUATION OF CORROSION CONTROL & STABILITY   ,CLOSED,PRO  (PRO SERVIC),,2017/05/10 00:00:00+00,29109,28856.3,5778,BROWN AND CALDWELL,3777
3779,91100538,OUTSIDE AGENCY GRANT ONE YOUTH AT A TIME          ,CLOSED,GS   (GEN SERV),,2011/09/14 00:00:00+00,5600,5600,1983,ONE YOUTH AT A TIME,3778
3780,91600264,CATERING AGREEMENT FOR EMPLOYEE PICNIC            ,CLOSED,GS   (GEN SERV),,2016/06/10 00:00:00+00,5920,5920,11852,MAMACITAS,3779
3781,91100847,"BUS BID EVALUATOR FOR FBR-800-11,DIESEL,HYBRID,CNG",CLOSED,GS   (GEN SERV),,2012/08/30 00:00:00+00,1282,1282,12015,"ASHFORD, JOHN",3780
3782,91100506,SHREDDING FROM CITY HALL 7TH AND 8TH FLOORS       ,CLOSED,GENERAL,,2012/06/26 00:00:00+00,2400,1954.48,6072,"AMERICAN SECURITY SHREDDING, I",3781
3783,91500094,BUS TRANSPORTATION FOR REC. YOUTH PROGRAM FY15    ,CLOSED,GS   (GEN SERV),,2016/03/17 00:00:00+00,20000,20000,891,EMMA BUS LINES,3782
3784,91100488,"SUPPLY/INSTALL FILTER CONTROL VALVES, ETC.        ",CLOSED,GS   (GEN SERV),,2010/11/17 00:00:00+00,19200,21050,8922,AQUATIC RESOURCE GROUP,3783
3785,91400306,GUTTERS STEPHENS LEE                              ,CLOSED,CON  (CONSTUCT/R),,2015/06/17 00:00:00+00,10000,10000,18205,"SPARTAN ROOFING CO., INC.",3784
3786,91800040,CONCRETE MAINTENANCE AND ADA IMPROVEMENTS FY 17-18,CLOSED,CON  (CONSTUCT/R),,2019/05/02 00:00:00+00,255593.25,255593.25,16673,"APPALACHIAN PAVING AND CONCRETE, INC.",3785
3787,91600217,WM. DEBRUHL WTP BULK CAUSTIC TANK REPLACE & HYPO  ,CLOSED,PRO  (PRO SERVIC),,2018/05/24 00:00:00+00,62800,84473.71,21083,"GHD CONSULTING SERVICES, INC.",3786
3788,91200224,3RD IS DEPT AREA COMPLETION                       ,CLOSED,GS   (GEN SERV),,2012/06/26 00:00:00+00,15408.18,22459.38,2959,PROFESSIONAL BUSINESS INTERIOR** DO NOT USE**,3787
3789,91200316,"NCDOT PROJECT U-3601, OLD PO 92491                ",CLOSED,CON  (CONSTUCT/R),,2014/05/06 00:00:00+00,9234.49,0,1881,NC DEPT OF TRANSPORTATION,3788
3790,91000470,"FY10 CSI - SANITATION, APD &  NICE 2-MO'S, UPPERWF",CLOSED,GS   (GEN SERV),,2019/03/27 00:00:00+00,3500,11817.62,27632,MOBILE COMMUNICATIONS AMERICA INC,3789
3791,91300184,ADA AUDIT & TRANSITION PLAN FOR PARKS             ,CLOSED,PRO  (PRO SERVIC),,2014/06/17 00:00:00+00,84477,81556,15444,"RECREATION ACCESSIBILITY, LLC.",3790
3792,91200158,REFINISH SEATING AT REID CENTER                   ,CLOSED,GS   (GEN SERV),,2011/10/12 00:00:00+00,12546,12546,12722,"P.I.P.S. INSTALLATION, INC.",3791
3793,91800168,FY 17/18 PROPANE FOR PUMPS AND RESERVOIRS         ,CLOSED,GS   (GEN SERV),,2020/06/15 00:00:00+00,25000,9315.56,8768,SOUTHERN STATES COOPERATIVE,3792
3794,92000195,WATER TREATMENT FOR CHILLER                       ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,8100,13200,696,CHEMSEARCH DIVISION OF NCH CORP,3793
3795,91800204,HOMEWARD BOUND AHOPE COORDINATED FY 17-18         ,CLOSED,HUD (GEN SERV-HUD),CDBG,2018/08/07 00:00:00+00,49643,49643,1211,HOMEWARD BOUND,3794
3796,91000644,OUTDOOR PROGRAMMING                               ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,1150,1150,9241,DANIEL A. KEITH,3795
3797,92100240,GRIFFING BLVD PROJECT                             ,CLOSED,CON  (CONSTUCT/R),,2021/05/20 00:00:00+00,16380,16380,11623,"MOUNTAIN UNDERGROUND, INC.",3796
3798,91700046,JOB ADVERTISING                                   ,CLOSED,GS   (GEN SERV),,2019/08/02 00:00:00+00,10000,23418,20526,IHEARTMEDIA AND ENTERTAINMENT INC.,3797
3799,92100184,PISGAH LEGAL COVID-19 EVICTION PREVENTION         ,CLOSED,HUD (GEN SERV-HUD),CDBG,2021/08/09 00:00:00+00,199500,199500,2037,PISGAH LEGAL SERVICES,3798
3800,91000514,                                                  ,CLOSED,GENERAL,,2010/04/22 00:00:00+00,704.7,704.7,4359,RSC EQUIPMENT RENTAL,3799
3801,91300190,ASHEVILLE CHAMBER OF COMMERCE OUTSIDE AG EDC 12-13,CLOSED,GS   (GEN SERV),,2012/12/12 00:00:00+00,60000,60000,35,ASHEVILLE CHAMBER OF COMMERCE,3800
3802,91500209,REPLACE FIDDLE & QUILT SCULPTURE - URBAN TRAIL 13 ,CLOSED,GS   (GEN SERV),,2015/08/04 00:00:00+00,15000,15000,1966,SAMUEL RALPH OWEN,3801
3803,91400081,FIRE STATION 6 HVAC REPLACEMENT                   ,CLOSED,CON  (CONSTUCT/R),,2013/07/29 00:00:00+00,5938,5938,2152,R & W INC,3802
3804,91100704,PAINTING OF RM 209 OF CH ELEV LOBBY AND INTER ELEV,CLOSED,GS   (GEN SERV),,2012/06/26 00:00:00+00,1000,22940,10873,WILLIAM A STEWART SUPERIOR PAINTING INC.,3803
3805,91100720,MEGAN ELIZABETH SMITH                             ,CLOSED,GS   (GEN SERV),,2011/06/08 00:00:00+00,300,262.5,11613,"SMITH, MEGAN ELIZABETH",3804
3806,91700204,RADIO DISPATCHERS PER ADD. 2 TO INTERGOVT AGRMT   ,CLOSED,GS   (GEN SERV),,2017/08/10 00:00:00+00,194461,201196.46,416,BUNCOMBE COUNTY FINANCE DEPT,3805
3807,91000244,PARTS & LABOR TO REPAIR BLACK 99 GMC SUBURBAN     ,CLOSED,GENERAL,,2010/08/19 00:00:00+00,1285.56,1285.56,1316,HARRYS CADILLAC-PONTIAC-GMC,3806
3808,92100331,PUBLIC ART FOR TRANSIT STATION                    ,CLOSED,GS   (GEN SERV),,2021/04/01 00:00:00+00,5000,5000,35619,WYATT GRANT,3807
3809,91000422,LANDSCAPE INSTALLATION BEAVERDAM/DOVER            ,CLOSED,GS   (GEN SERV),,2010/03/24 00:00:00+00,7000,7000,8070,SUMMIT LANDSCAPE & NURSERY,3808
3810,91600249,"NF AND WD DAMS, EAP, TABLE TOP REVIEW             ",CLOSED,PRO  (PRO SERVIC),,2016/08/12 00:00:00+00,29850,29850,4596,SCHNABEL ENGINEERING SOUTH PC,3809
3811,91500098,FY15 ADECCO CONTRACTED IT EMPLOYEES               ,CLOSED,GS   (GEN SERV),,2016/06/23 00:00:00+00,95000,95000,147,ADECCO TEMPORARY SERVICES INC,3810
3812,91000163,"TO INCREASE CONTRACT AMOUNT BY $25,000            ",CLOSED,GENERAL,,2010/09/08 00:00:00+00,16817,41817,2340,SKYLAND VOLUNTEER FIRE DEPT,3811
3813,91700280,YEARLY CONTRACT FOR FBR/MPO-MOU FROM ALL REGIONS  ,CLOSED,GS   (GEN SERV),,2018/06/28 00:00:00+00,18000,14980.78,1535,LAND-OF-SKY REGIONAL COUNCIL,3812
3814,91100533,ANIMAL CONTROL VAN #A103 RETROFIT                 ,CLOSED,GENERAL,,2010/10/29 00:00:00+00,4715,4715,9088,"RUSSELL'S PAINT AND BODY, LLC",3813
3815,92200206,ANNUAL BUS PASSES FOR ART PASSENGERS FOR 2022     ,CREATED,GS   (GEN SERV),,2021/10/20 00:00:00+00,,,16143,"CLARK'S PRINTING SERVICE, INC.",3814
3816,91500168,ADVERTISING FOR CITY JOBS                         ,CLOSED,GS   (GEN SERV),,2018/06/07 00:00:00+00,7954,15460,8756,SCREENVISION DIRECT,3815
3817,91200318,CONVERTING FROM PO 101070 ALOFT PARKING DECK      ,CLOSED,PRO  (PRO SERVIC),,2012/11/20 00:00:00+00,29467.55,0,8777,"MCKIBBON HOTEL GROUP,INC.",3816
3818,91700165,DEMOLITION OF BUILDING & APPURTENANCES & ASBESTOS ,CLOSED,CON  (CONSTUCT/R),,2017/04/03 00:00:00+00,90000,76062,5260,"B ALLEN CONSTRUCTION, INC.",3817
3819,91800346,MOUNTAIN HOUSING OPPORTUNTIES DPA FY 17-18        ,POSTED,HUD (GEN SERV-HUD),HOME,2021/08/20 00:00:00+00,42435,42435,1736,MOUNTAIN HOUSING OPPORTUNITIES,3818
3820,91700198,FIBER INSTALL AT SKYLAND                          ,CLOSED,GS   (GEN SERV),,2017/06/23 00:00:00+00,7343.95,7343.95,13095,MC COMMUNICATIONS INC.,3819
3821,91600136,RIGHT OF WAY ACQUISITION SERVICES FOR RADTIP      ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,240000,275000,17548,"GULF COAST, LLC",3820
3822,91400220,HENDERSONVILLE ROAD WATER LINE CONSOLIDATION PROJ ,CLOSED,CON  (CONSTUCT/R),,2015/03/19 00:00:00+00,485393,529178.08,589,COOPER CONSTRUCTION INC,3821
3823,91100682,JUAN GERMAINE WEAVER                              ,CLOSED,GENERAL,,2011/06/03 00:00:00+00,500,112.5,11539,"WEAVER, JUAN GERMAINE",3822
3824,91200157,TESTING CONCRETE/MASONRY @ CIVIC CENTER           ,CLOSED,PRO  (PRO SERVIC),,2013/04/12 00:00:00+00,6000,4645.98,12332,"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC.",3823
3825,91100187,BC 10 TALENT BUYER-HEADLINEERS                    ,CLOSED,GS   (GEN SERV),,2010/07/16 00:00:00+00,3650,3650,586,"MOORE ENTERTAINMENT, INC.",3824
3826,92100077,EMERGENCY GENERATOR RENTAL                        ,CLOSED,GS   (GEN SERV),,2021/02/24 00:00:00+00,9642.83,9052.4,238,"UNITED RENTALS(NORTH AMERICA),INC",3825
3827,91000593,WORKSHOP FOR SUMMER PLAYGROUND TRAINING           ,CLOSED,PRO  (PRO SERVIC),,2010/06/03 00:00:00+00,800,800,10507,"LEADING TO CHANGE, INC.",3826
3828,91000565,INFILTRATION TESTING AND SAMPLING SERVICES        ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,4352,4352,4575,BUNNELL-LAMMONS ENGINEERING,3827
3829,91100470,                                                  ,CLOSED,GENERAL,,2010/09/29 00:00:00+00,54,54,11164,"BOSEMAN, DYSHANNA",3828
3830,91000511,SOIL SAMPLING AND RECOMMENDATIONS                 ,CLOSED,GS   (GEN SERV),,2010/04/21 00:00:00+00,1895,1895,3261,FROEHLING & ROBERTSON INC,3829
3831,91100064,BC HEADLINER - BOMSHEL                            ,CLOSED,ENT  (ENTERTAIN),,2010/07/01 00:00:00+00,7500,7500,10701,"ACCELERATION TOURING, INC.",3830
3832,91800074,NEP AREA 1 PH 2 WATER DISTRIBUTION SYSTEMS PROJ   ,CLOSED,CON  (CONSTUCT/R),,2021/05/26 00:00:00+00,2383610,2271464.48,11334,"T&K UTILITIES, INC.",3831
3833,91000587,CHANGE ORDER TO PO 71920                          ,CLOSED,PRO  (PRO SERVIC),,2010/06/01 00:00:00+00,6200,6200,7873,HIGHWATER CLAYS,3832
3834,91900254,REPAIR/REPLACEMENT OF POOL FLOOR - MALVERN POOL   ,CLOSED,CON  (CONSTUCT/R),,2019/07/17 00:00:00+00,70275,76040,13352,"LEGACY COMMERCIAL POOL SERVICES, INC.",3833
3835,91400166,CONCRETE REPAIR - UTILITY CUTS                    ,CLOSED,CON  (CONSTUCT/R),,2015/05/19 00:00:00+00,414322,414321.69,16673,"APPALACHIAN PAVING AND CONCRETE, INC.",3834
3836,91100212,MOUNTAIN VALLEY SPRING WATER- SERVICE FOR THE CITY,CLOSED,GS   (GEN SERV),,2019/03/27 00:00:00+00,672,672,1764,MOUNTAIN VALLEY SPRING WATER,3835
3837,91700152,REQUEST OF DUKE ENERGY TO HIRE WGLA-REVIEW FBR GRE,CLOSED,PRO  (PRO SERVIC),,2017/06/09 00:00:00+00,968,968,1586,"WGLA ENGINEERING, PLLC",3836
3838,91300249,PREPARE CONSTRUCTION DESIGN DOCS FOR RESURFAC     ,CLOSED,PRO  (PRO SERVIC),,2019/06/13 00:00:00+00,7500,99614.88,10927,CIVIL DESIGN CONCEPTS PA,3837
3839,92000153,VEHICLE REPAIRS FOR WATER DEPARTMENT              ,CLOSED,GS   (GEN SERV),,2020/06/17 00:00:00+00,35785.85,33447.06,30956,DIESEL POWER TRUCK CTR,3838
3840,91200350,CARPET GASHES CK PARKS & REC OFFICE               ,CLOSED,GS   (GEN SERV),,2014/05/20 00:00:00+00,12883.42,12883.42,2959,PROFESSIONAL BUSINESS INTERIOR** DO NOT USE**,3839
3841,91100693,HOOF CARE ON EQUID COLLECTION AT NATURE CENTER    ,CLOSED,GS   (GEN SERV),,2019/03/27 00:00:00+00,2000,2000,7820,BRET MATTHEW MOORE DBA,3840
3842,91100434,REPAIR OF TELESCOPING SLUDGE VALVE- MILLS RIVER   ,CLOSED,GENERAL,,2010/09/17 00:00:00+00,3448,3448,2664,THE PERKINSON COMPANY,3841
3843,91500032,CENTRAL STATION MONITORING FY                     ,CLOSED,GS   (GEN SERV),,2018/05/15 00:00:00+00,9060,27145,190,ALARM SERVICES OF ASHEVILLE INC.,3842
3844,92000097,GBTB-COMM. SUMMER DAY CAMP FY 19-20               ,CLOSED,GS   (GEN SERV),,2020/06/15 00:00:00+00,3167,3167,8976,"GETTING BACK TO THE BASICS, INC.",3843
3845,91100268,BC10 STAGE CREW                                   ,CLOSED,GS   (GEN SERV),,2010/07/30 00:00:00+00,630,630,9100,KELLEN ROBINSON BEWSEY,3844
3846,92000188,460 1/2 BOOKER STREET-SECURE PROPERTY             ,CLOSED,GS   (GEN SERV),,2020/05/01 00:00:00+00,1420,1420,32306,EXLY  LEWIS,3845
3847,91100635,SERVICE DUMPSTER BESIDE GARAGE                    ,CLOSED,GS   (GEN SERV),,2012/06/28 00:00:00+00,900,0,11254,WASTE PRO,3846
3848,92100083,NCDOT AGREEMENT TRAFFIC REVIEW/INSPECTION 9405    ,CLOSED,GS   (GEN SERV),,2021/05/14 00:00:00+00,5000,5000,1881,NC DEPT OF TRANSPORTATION,3847
3849,91000515,CLINGMAN AVENUE / HAYWOOD ROAD STREETSCAPE        ,CLOSED,CON  (CONSTUCT/R),,2012/06/27 00:00:00+00,503827,714469.66,9262,"MOORE & SONS SITE CONTRACTORS, INC.",3848
3850,91200219,PHYSICALS FOR FIREFIGHTERS                        ,CLOSED,LW   (DON'T USE),,2012/07/31 00:00:00+00,60000,60000,13120,"SITEMED NORTH AMERICA, LLC",3849
3851,92200092,FIRE STATION 10 FIRE CONTROLS UPGRADE             ,POSTED,GS   (GEN SERV),,2021/07/13 00:00:00+00,18190.73,18190.73,17365,JOHNSON CONTROLS SECURITY SOLUTIONS,3850
3852,91900128,AVL BUNCOMBE FOOD POLICY COUNCIL                  ,CLOSED,GS   (GEN SERV),,2019/08/02 00:00:00+00,15000,15000,26385,BOUNTIFUL CITIES PROJECT INC,3851
3853,91700403,PLAYGROUND REPLACEMENT DESIGN SERVICES            ,CLOSED,PRO  (PRO SERVIC),,2020/06/24 00:00:00+00,190000,119009.93,27759,SURFACE 678 PA,3852
3854,91800264,CARRIER PARK PAINT EXTERIOR WALL                  ,CLOSED,GS   (GEN SERV),,2019/05/31 00:00:00+00,22500,21238,5260,"B ALLEN CONSTRUCTION, INC.",3853
3855,91300287,HVAC SHILO CENTER                                 ,CLOSED,CON  (CONSTUCT/R),,2013/06/03 00:00:00+00,21874,21874,2152,R & W INC,3854
3856,92000148,RADIO ADVERTISEMENT FOR FY 20                     ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,20000,20000,20526,IHEARTMEDIA AND ENTERTAINMENT INC.,3855
3857,91800326,HR AND STRATEGIC CONSULTING SERVICES              ,CLOSED,GS   (GEN SERV),,2019/05/22 00:00:00+00,4999,30117,29023,"CRAFT HR SOLUTIONS, LLC",3856
3858,92100313,WCRM CODE PURPLE SHELTER.                         ,CLOSED,GS   (GEN SERV),SERVICE,2021/12/06 00:00:00+00,80000,100110,8741,WESTERN CAROLINA RESCUE MINIST,3857
3859,91100547,FY11 HALON SYSTEM MAINTENANCE                     ,CLOSED,GS   (GEN SERV),,2012/06/28 00:00:00+00,1000,754,6364,GRANTS FIRE SERVICE,3858
3860,91100746,EMERGENCY CLEAN UP AT MCCORMICK FIELD             ,CLOSED,GS   (GEN SERV),,2011/03/21 00:00:00+00,1337.21,1337.21,4368,FIRST RESTORATION SERVICES,3859
3861,91100535,APPRAISAL OF WC REID CTR 133 LIVINGSTON STREET    ,CLOSED,PRO  (PRO SERVIC),,2010/11/02 00:00:00+00,3000,3000,340,BENJAMIN T BEASLEY & ASSOCIATE,3860
3862,91400232,ASHEVILLE GREENWORKS - OUTSIDE AGENCY FY  13-14   ,CLOSED,GS   (GEN SERV),,2015/06/20 00:00:00+00,8000,8000,2142,ASHEVILLE GREENWORKS,3861
3863,91900051,NCDOT BRIDGE NO. 217 OVER GRASSY BRANCH WL RELOC  ,CLOSED,CON  (CONSTUCT/R),,2021/10/04 00:00:00+00,153680,131800,1881,NC DEPT OF TRANSPORTATION,3862
3864,91800063,MICHIGAN COALITION AGAINST HOMELESSN HMIS FY17-18 ,CLOSED,GS   (GEN SERV),SERVICE,2019/06/13 00:00:00+00,32121.82,31188.63,21673,MICHIGAN COALITION AGAINST HOMELESS,3863
3865,92000101,WNC NONPROFIT PATHWAYS 3 HOUR WORKSHOPS           ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,7500,7500,24419,COMMUNITY FOUNDATION O,3864
3866,91200214,CHILD ABUSE PREVENTION SERVICES OUTSIDEAGENCY11-12,CLOSED,GS   (GEN SERV),,2012/07/31 00:00:00+00,5000,5000,9203,"MOUNTAIN CHILD ADVOCACY CENTER, INC.",3865
3867,91900220,AFTER HOURS ANSWERING SERVICE                     ,POSTED,GS   (GEN SERV),,2021/08/24 00:00:00+00,3500,11100,778,DANIELS COMMUNICATIONS INC,3866
3868,91100549,REPAIRS AT STATION 9                              ,CLOSED,GENERAL,,2010/11/09 00:00:00+00,314.75,314.75,2401,DAVID D SMITH AND COMPANY,3867
3869,91000472,ATTEND WEBINAR AND PRODUCE NOTES FOR DEPT. HEADS  ,CLOSED,PRO  (PRO SERVIC),,2010/08/19 00:00:00+00,150,150,8883,KAREN FIELD,3868
3870,91600268,SIRE 6 MONTH HOSTING                              ,CLOSED,GS   (GEN SERV),,2016/08/03 00:00:00+00,8700,8700,15264,"HYLAND SOFTWARE, INC",3869
3871,91300286,TIGER II REDEVELOPMENT PLANNING - HERITAGE DIRECT ,CLOSED,LW   (DON'T USE),,2014/08/08 00:00:00+00,55000,55000,16580,"GALLAHER, THOMAS BURKE",3870
3872,92200165,APPLICANT  TRACKING                               ,POSTED,GS   (GEN SERV),,2021/09/07 00:00:00+00,13340.25,13340.25,13246,GOVERNMENT JOBS.COM INC.,3871
3873,91300032,GROUNDS MAINTENANCE FOR WEST DISTRICT             ,CLOSED,LW   (DON'T USE),,2012/07/02 00:00:00+00,32940,32940,19668,"WILDE ACRE LANDSCAPES, INC.",3872
3874,91900239,INDEPENDENT INVESTIGATOR                          ,CLOSED,GS   (GEN SERV),,2020/06/01 00:00:00+00,15000,18920,31258,"DAVIS HARTMAN WRIGHT, PLLC",3873
3875,91000629,PHASE ONE ENVIRONMENTAL SITE ASSESSMENT           ,CLOSED,GS   (GEN SERV),,2010/09/01 00:00:00+00,2500,5200,8280,"ECS SOUTHEAST, LLP",3874
3876,91400163,REPLACE BOILER AT STEPHENS LEE CENTER             ,CLOSED,CON  (CONSTUCT/R),,2013/11/11 00:00:00+00,39921,39921,2152,R & W INC,3875
3877,91700221,FOOD ACTION PLANNING                              ,CLOSED,GS   (GEN SERV),,2018/06/28 00:00:00+00,11000,11000,26385,BOUNTIFUL CITIES PROJECT INC,3876
3878,92100509,FY2020-2021 FINANCIAL AUDIT CONTRACT              ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,125800,125800,37384,"PBMARES, LLP",3877
3879,91100642,CITIZEN-TIMES HR RECRUITING ADS                   ,CLOSED,GS   (GEN SERV),,2019/03/27 00:00:00+00,22390,21975.42,36,ASHEVILLE CITIZEN-TIMES,3878
3880,91900414,HENDERSON COUNTY HABITAT DODD MEADOWS FY 18-19    ,CLOSED,HUD (GEN SERV-HUD),HOME,2022/02/14 00:00:00+00,180000,0,5971,HENDERSON CO HABITAT FOR HUMAN,3879
3881,91500220,POSTAGE - STORMWATER SERVICES Y1 OF MULTI-YR CNTRT,CLOSED,GS   (GEN SERV),,2016/05/17 00:00:00+00,18000,17178.95,3204,MAIL MANAGEMENT SERVICES,3880
3882,91700215,ASHEVILLE AREA HABITAT FOR HOMEONWER SVC FY 16-17 ,CLOSED,HUD (GEN SERV-HUD),CDBG,2017/06/29 00:00:00+00,50000,50000,41,ASHEVILLE AREA HABITAT FOR HUM,3881
3883,92100110,POSTAGE WATER RESOURCES YR 3 OF 4                 ,CLOSED,GS   (GEN SERV),SUPPLEMENTAL,2021/09/27 00:00:00+00,225000,223011.11,3204,MAIL MANAGEMENT SERVICES,3882
3884,91100350,K-9 TRAINING FOR DOGS AND HANDLERS                ,CLOSED,GENERAL,,2011/08/10 00:00:00+00,2550,2550,2554,"SOUTHERN POLICE CANINE, INC.",3883
3885,91900440,RICHMOND HILL SEPTIC INSTALLATION                 ,CLOSED,CON  (CONSTUCT/R),,2020/06/04 00:00:00+00,14785,12785,32490,BARTLETT CONSTRUCTION & LANDSCAPING CO.,3884
3886,92100057,GUARD SERVICES FOR MULTI CITY LOCATIONS           ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,89900,89900,35267,STRATEGIC SECURITY CORP,3885
3887,91000489,JANITORIAL SERVICE FOR CIVIC CENTER EVENTS        ,CLOSED,GS   (GEN SERV),,2013/11/08 00:00:00+00,9600,19581.39,2402,SPOTLESS CLEANING SERVICE,3886
3888,91000598,ROLE PLAYING FOR PROMOTIONAL PROCESS              ,CLOSED,GENERAL,,2010/06/04 00:00:00+00,240,240,176,ASHEVILLE COMMUNITY THEATRE,3887
3889,91100696,DIRECTIONAL BORING FOR WATER LINE UNDER HVL RD    ,CLOSED,GS   (GEN SERV),,2011/02/07 00:00:00+00,1500,1500,11623,"MOUNTAIN UNDERGROUND, INC.",3888
3890,91600124,3RD PARTY CLAIM HANDLING ADMIN - LIABILITY        ,CLOSED,RISK - HR / INS,,2016/06/21 00:00:00+00,19800,18400,5861,PMA MANAGEMENT CORPORATION,3889
3891,91400090,ANNUAL CONTRACT FOR MULTIPLE LOCATIONS            ,CLOSED,GS   (GEN SERV),,2015/06/17 00:00:00+00,21480,15639.5,7265,SIMPLEXGRINNELL,3890
3892,92100317,FIRE ALARM SPRINKLER INSPECTIONS - MILLS RIVER    ,CLOSED,GS   (GEN SERV),,2021/05/25 00:00:00+00,1695,1695,5519,"JOHNSON CONTROLS, INC.",3891
3893,91000395,TEMPORARY EMPLOYEE TO HELP IN THE OFFICE          ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,16200,16200,147,ADECCO TEMPORARY SERVICES INC,3892
3894,91200238,FRANEM ACRES WATERLINE INSTALLATION               ,CLOSED,CON  (CONSTUCT/R),,2012/07/12 00:00:00+00,88031,76479,13848,CANA CONSTRUCTION,3893
3895,91700154,PISGAH LEGAL  SERVICES - HOMELESSNESS PR FY 16-17 ,CLOSED,HUD (GEN SERV-HUD),CDBG,2017/06/29 00:00:00+00,41000,41000,2037,PISGAH LEGAL SERVICES,3894
3896,91800428,FIX LIGHTING ISSUE AT CARRIER PARK                ,CLOSED,CON  (CONSTUCT/R),,2019/06/13 00:00:00+00,12425,12425,1188,M B HAYNES CORPORATION,3895
